scene,resolution,status,psnr,ssim,lpips,train_views,test_views,checkpoint_exists,render_exists,metrics_exists,train_seconds,peak_memory_used_mib,pointcloud_source,failure_reason
fern,1_8,pending,,,,3,3,False,False,False,,,/data1/liuly/FSGS_LLFF/author_preprocessed/nerf_llff_data/fern/3_views/dense/fused.ply,
flower,1_8,pending,,,,3,5,False,False,False,,,/data1/liuly/FSGS_LLFF/author_preprocessed/nerf_llff_data/flower/3_views/dense/fused.ply,
fortress,1_8,pending,,,,3,6,False,False,False,,,/data1/liuly/FSGS_LLFF/author_preprocessed/nerf_llff_data/fortress/3_views/dense/fused.ply,
horns,1_8,completed,16.261910319328308,0.5077221058309078,0.36761368438601494,3,8,True,True,True,391.54413582384586,24093,/data1/liuly/FSGS_LLFF/author_preprocessed/nerf_llff_data/horns/3_views/dense/fused.ply,
leaves,1_8,pending,,,,3,4,False,False,False,,,/data1/liuly/FSGS_LLFF/author_preprocessed/nerf_llff_data/leaves/3_views/dense/fused.ply,
orchids,1_8,pending,,,,3,4,False,False,False,,,/data1/liuly/FSGS_LLFF/author_preprocessed/nerf_llff_data/orchids/3_views/dense/fused.ply,
room,1_8,pending,,,,3,6,False,False,False,,,/data1/liuly/FSGS_LLFF/author_preprocessed/nerf_llff_data/room/3_views/dense/fused.ply,
trex,1_8,pending,,,,3,7,False,False,False,,,/data1/liuly/FSGS_LLFF/author_preprocessed/nerf_llff_data/trex/3_views/dense/fused.ply,
fern,1_4,pending,,,,3,3,False,False,False,,,/data1/liuly/FSGS_LLFF/author_preprocessed/nerf_llff_data/fern/3_views/dense/fused.ply,
flower,1_4,pending,,,,3,5,False,False,False,,,/data1/liuly/FSGS_LLFF/author_preprocessed/nerf_llff_data/flower/3_views/dense/fused.ply,
fortress,1_4,pending,,,,3,6,False,False,False,,,/data1/liuly/FSGS_LLFF/author_preprocessed/nerf_llff_data/fortress/3_views/dense/fused.ply,
horns,1_4,pending,,,,3,8,False,False,False,,,/data1/liuly/FSGS_LLFF/author_preprocessed/nerf_llff_data/horns/3_views/dense/fused.ply,
leaves,1_4,pending,,,,3,4,False,False,False,,,/data1/liuly/FSGS_LLFF/author_preprocessed/nerf_llff_data/leaves/3_views/dense/fused.ply,
orchids,1_4,pending,,,,3,4,False,False,False,,,/data1/liuly/FSGS_LLFF/author_preprocessed/nerf_llff_data/orchids/3_views/dense/fused.ply,
room,1_4,pending,,,,3,6,False,False,False,,,/data1/liuly/FSGS_LLFF/author_preprocessed/nerf_llff_data/room/3_views/dense/fused.ply,
trex,1_4,pending,,,,3,7,False,False,False,,,/data1/liuly/FSGS_LLFF/author_preprocessed/nerf_llff_data/trex/3_views/dense/fused.ply,
